,이름,타율,타수대비홈런,타수대비삼진,타수대비사구,타수대비득점,타수대비타점,출루율,도루성공률,선수OPS,선수WAR
196,홍건희,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
197,홍정우,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
198,배재환,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
199,김성훈,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
200,김재윤,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
201,이찬혁,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
202,정영일,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
203,원종현,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
204,송명기,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
205,송은범,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
206,진명호,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
207,김민,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
208,이보근,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
209,오원석,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
210,홍성무,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
211,배민서,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
212,정우영,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
213,강동연,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
214,이창재,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
215,정우람,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
216,김건태,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
217,이대은,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
218,박민호,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
219,류원석,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
220,김진성,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
221,김주한,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
222,구승민,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
223,진해수,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
224,하재훈,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
225,안우진,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
