순,이름,팀,war,g,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,ops,woba,wrc+,war,wpa
156,권민석,20두3B,0.02,53,53,46,6,13,2,0,0,15,7,1,0,3,0,0,13,0,2,2,.283,.314,.326,.640,.286,62.5,0.02,-0.39
157,김창평,20S2B,0.02,35,90,78,10,15,4,1,0,21,7,7,0,11,0,0,16,2,0,1,.192,.289,.269,.558,.269,52.3,0.02,0.26
158,강로한,20롯CF,0.02,16,26,21,6,4,0,0,0,4,1,2,1,4,1,0,6,0,0,0,.190,.346,.190,.537,.287,62.8,0.02,0.17
159,권정웅,20삼C,0.02,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.500,.000,.500,.366,112.7,0.02,0.00
160,고종욱,20SLF,0.02,90,283,268,24,76,9,3,3,100,26,1,3,13,1,0,54,3,0,1,.284,.318,.373,.691,.318,83.2,0.02,-0.42
161,양찬열,20두RF,0.01,17,26,22,5,5,0,0,0,5,3,0,0,3,1,0,2,0,0,0,.227,.346,.227,.573,.295,68.6,0.01,-0.00
162,전민수,20LRF,0.01,2,5,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,.250,.400,.250,.650,.335,94.7,0.01,-0.09
163,박민,20K3B,0.01,6,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.000,.500,.000,.500,.366,,0.01,-0.01
164,김진욱,20한P,0.00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.00,0.00
165,현원회,20SC,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00
