순,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ,WAAwithADJ
144,김재윤,18KP,0.038,62,0,61.0,9,1,8,0,1.000,1.33,0.28,0.00,0.00,0.03,0.11,0.42,8.27,0.00,0.42,0.038,0.038
145,민태호,18NP,0.035,8,0,9.2,7,2,5,0,1.000,6.52,0.37,0.00,0.00,0.00,0.02,0.39,48.59,0.00,0.39,0.035,0.035
146,원종현,18NP,0.035,59,0,64.1,16,9,6,1,.938,2.10,0.40,0.00,0.18,-0.10,-0.09,0.39,7.31,0.00,0.39,0.035,0.035
147,김민수,18삼C,0.035,7,0,14.1,15,15,0,0,1.000,9.42,0.00,0.00,0.16,0.07,0.02,0.25,20.67,0.14,0.38,0.022,0.035
148,우규민,18삼P,0.034,48,0,58.2,14,3,10,1,.929,1.99,0.44,0.00,0.00,0.03,-0.10,0.38,7.69,0.00,0.38,0.034,0.034
149,이영하,18두P,0.033,40,17,122.2,23,3,18,2,.913,1.54,0.49,0.00,0.00,0.06,-0.18,0.37,3.57,0.00,0.37,0.033,0.033
150,김민혁,18두1B,0.033,10,6,49.1,40,37,3,0,1.000,7.30,0.66,0.00,0.00,0.00,0.09,0.75,18.15,-0.39,0.36,0.067,0.033
151,장현식,18NP,0.032,21,0,26.2,5,2,3,0,1.000,1.69,0.36,0.00,0.00,-0.05,0.05,0.36,16.09,0.00,0.36,0.032,0.032
152,듀브론트,18롯P,0.031,25,25,137.1,32,5,26,1,.969,2.03,0.24,0.00,0.00,0.06,0.05,0.35,3.04,0.00,0.35,0.031,0.031
153,문경찬,18KP,0.031,32,0,55.1,6,3,3,0,1.000,0.98,0.22,0.00,0.00,0.03,0.10,0.35,7.48,0.00,0.35,0.031,0.031
154,배재준,18LP,0.030,16,5,38.2,11,5,5,1,.909,2.33,0.59,0.00,0.00,-0.12,-0.13,0.34,10.54,0.00,0.34,0.030,0.030
155,김재율,18L1B,0.030,20,12,86.0,82,77,5,0,1.000,8.58,0.98,0.00,0.00,0.00,0.14,1.12,15.61,-0.78,0.34,0.101,0.030
156,조무근,18롯P,0.029,2,0,0.2,0,0,0,0,,0.00,-0.00,0.00,0.32,0.00,0.00,0.32,580.42,0.00,0.32,0.029,0.029
157,서진용,18SP,0.029,48,0,50.0,5,1,4,0,1.000,0.90,0.36,0.00,-0.14,0.02,0.09,0.33,7.81,0.00,0.33,0.029,0.029
158,박치국,18두P,0.029,67,0,67.0,13,2,11,0,1.000,1.75,0.17,0.00,0.00,0.03,0.12,0.32,5.73,0.00,0.32,0.029,0.029
159,홍성갑,18넥LF,0.028,2,1,16.0,2,2,0,0,1.000,1.13,0.54,-0.16,0.00,0.00,0.01,0.40,29.70,-0.09,0.31,0.037,0.028
160,엄상백,18KP,0.028,55,0,46.1,6,3,3,0,1.000,1.17,0.63,0.00,-0.43,0.02,0.08,0.31,7.97,0.00,0.31,0.028,0.028
